newprice2,isbn3,newprice1,title1,author3,usedprice2,usedprice3,course,title2,title3,isbn1,author1,author2,isbn2,usedprice1,newprice3
,,,,,,,,,,9780714863610,,,,,
,,$39.95,,,,,,,,,,,,,
,,,,,,,,,,,,,,$30.00,
,,,,,,,,,,,,Porritt,,,
,,,,,,,,,,,,,9780714863610,,
,,,,Porritt,,,,,,,,,,,
,9780714863610,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 325 : 001 : Course ID 94572,,,,,,,,
,,,Modern Romance,,,,,,,,,,,,
,,,Modern Romance,,,,,,,,,,,,
,,,,,,,,,,,Ansari,,,,
,,,,,,,,,,,Ansari,,,,
,,,,,,,,,,9780143109259,,,,,
,,,,,,,,,,9780143109259,,,,,
,,$17.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,$12.75,
,,,,,,,,Family Theories,,,,,,,
,,,,,,,,Family Theories,,,,,,,
,,,,,,,,,,,,Ansari,,,
,,,,,,,,,,,,Ansari,,,
,,,,,,,,,,,,,9780143109259,,
,,,,,,,,,,,,,9780143109259,,
$92.00,,,,,,,,,,,,,,,
,,,,,$69.00,,,,,,,,,,
,,,,Ansari,,,,,,,,,,,
,,,,Ansari,,,,,,,,,,,
,9780143109259,,,,,,,,,,,,,,
,9780143109259,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 325 : 003 : Course ID 94573,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 342 : 101 : Course ID 94574,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 342 : HM1 : Course ID 94575,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 352 : 451 : Course ID 94577,,,,,,,,
,,,Intro to Ethnic Conflict,,,,,,,,,,,,
,,,Intro to Ethnic Conflict,,,,,,,,,,,,
,,,,,,,,,,,Esman,,,,
,,,,,,,,,,9780745631172,,,,,
,,$28.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,$21.25,
,,,,,,,,,,,,Esman,,,
,,,,,,,,,,,,,9780745631172,,
,,,,Esman,,,,,,,,,,,
,9780745631172,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 359 : 457 : Course ID 94581,,,,,,,,
,,,Psychology of the Internet,,,,,,,,,,,,
,,,Psychology of the Internet,,,,,,,,,,,,
,,,,,,,,,,,Wallace,,,,
,,,,,,,,,,9781107437326,,,,,
,,$43.50,,,,,,,,,,,,,
,,,,,,,,,,,,,,$32.75,
,,,,,,,,,,,,Wallace,,,
,,,,,,,,,,,,,9781107437326,,
,,,,Wallace,,,,,,,,,,,
,9781107437326,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 363 : 101 : Course ID 94582,,,,,,,,
,,,Intro to Sustainability,,,,,,,,,,,,
,,,Intro to Sustainability,,,,,,,,,,,,
,,,,,,,,,,,Mulligan,,,,
,,,,,,,,,,,Mulligan,,,,
,,,,,,,,,,9780415706445,,,,,
,,,,,,,,,,9780415706445,,,,,
,,$63.95,,,,,,,,,,,,,
,,,,,,,,,,,,,,$48.00,
,,,,,,,,Upcycle,,,,,,,
,,,,,,,,Upcycle,,,,,,,
,,,,,,,,,,,,Mulligan,,,
,,,,,,,,,,,,Mulligan,,,
,,,,,,,,,,,,,9780415706445,,
,,,,,,,,,,,,,9780415706445,,
$24.00,,,,,,,,,,,,,,,
,,,,,$18.00,,,,,,,,,,
,,,,Mulligan,,,,,,,,,,,
,,,,Mulligan,,,,,,,,,,,
,9780415706445,,,,,,,,,,,,,,
,9780415706445,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94584,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 363 : HM1 : Course ID 94583,,,,,,,,
,,,Upcycle,,,,,,,,,,,,
,,,Upcycle,,,,,,,,,,,,
,,,,,,,,,,,McDonough,,,,
,,,,,,,,,,,McDonough,,,,
,,,,,,,,,,9780865477483,,,,,
,,,,,,,,,,9780865477483,,,,,
,,$24.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,$18.00,
,,,,,,,,Intro to Sustainability,,,,,,,
,,,,,,,,Intro to Sustainability,,,,,,,
,,,,,,,,,,,,McDonough,,,
,,,,,,,,,,,,McDonough,,,
,,,,,,,,,,,,,9780865477483,,
,,,,,,,,,,,,,9780865477483,,
$63.95,,,,,,,,,,,,,,,
,,,,,$48.00,,,,,,,,,,
,,,,McDonough,,,,,,,,,,,
,,,,McDonough,,,,,,,,,,,
,9780865477483,,,,,,,,,,,,,,
,9780865477483,,,,,,,,,,,,,,
